EARN,EMP#,DATE,HRS,RATE,AMOUNT
REG,2351,11/21/2012,2.12,30.8,67.76
REG,2355,11/10/2012,2.44,30.48,83.31
REG,2355,11/10/2012,5.16,30.8,162.21
REG,2355,11/14/2012,4.57,30.48,150.88
REG,2355,11/14/2012,3.03,30.8,93.94
REG,2355,11/15/2012,4.57,30.48,150.88
REG,2355,11/15/2012,3.03,30.8,93.94
REG,2355,11/16/2012,4.57,30.48,150.88
REG,2355,11/16/2012,3.03,30.8,93.94
REG,2358,11/11/2012,5.55,30.48,180.34
REG,2358,11/11/2012,2.05,30.8,64.17
REG,2358,11/12/2012,5.00,30.48,152.4
REG,2358,11/12/2012,3.00,30.8,92.4
REG,2358,11/13/2012,5.00,30.48,152.4
REG,2358,11/13/2012,3.00,30.8,92.4
REG,2358,11/14/2012,6.20,30.48,193.04
REG,2358,11/14/2012,1.40,30.8,51.33
REG,2358,11/15/2012,5.00,30.48,152.4
REG,2358,11/15/2012,3.00,30.8,92.4
REG,2358,11/18/2012,5.55,30.48,180.34
REG,2358,11/18/2012,2.05,30.8,64.17
REG,2358,11/19/2012,5.00,30.48,152.4
REG,2358,11/19/2012,3.00,30.8,92.4
REG,2358,11/20/2012,5.00,30.48,152.4
REG,2358,11/20/2012,3.00,30.8,92.4
REG,2358,11/21/2012,5.00,30.48,152.4
REG,2358,11/21/2012,3.00,30.8,92.4
REG,2529,11/10/2012,8.00,30.8,246.4
REG,2529,11/11/2012,5.26,30.48,165.61
REG,2529,11/11/2012,2.34,30.8,79.05
REG,2529,11/12/2012,2.55,30.48,88.9
REG,2529,11/12/2012,5.05,30.8,156.57
REG,2529,11/15/2012,4.07,30.48,125.48
REG,2529,11/15/2012,3.53,30.8,119.61
REG,2529,11/16/2012,4.07,30.48,125.48
REG,2529,11/16/2012,3.53,30.8,119.61
REG,2529,11/17/2012,8.00,30.48,243.84
REG,2529,11/18/2012,5.50,30.48,177.8
REG,2529,11/19/2012,4.07,30.48,125.48
REG,2529,11/19/2012,3.53,30.8,119.61
REG,2529,11/22/2012,8.00,30.48,243.84
REG,2529,11/23/2012,8.00,30.48,243.84
REG,2554,11/12/2012,2.57,30.48,89.92
REG,2554,11/12/2012,5.03,30.8,155.54
REG,2554,11/13/2012,2.57,30.48,89.92
REG,2554,11/13/2012,5.03,30.8,155.54
REG,2554,11/14/2012,2.57,30.48,89.92
REG,2554,11/14/2012,5.03,30.8,155.54
REG,2554,11/15/2012,2.57,30.48,89.92
REG,2554,11/15/2012,5.03,30.8,155.54
REG,2554,11/16/2012,2.57,30.48,89.92
REG,2554,11/16/2012,5.03,30.8,155.54
REG,2554,11/19/2012,2.50,30.48,86.36
REG,2554,11/19/2012,5.10,30.8,159.13
REG,2554,11/20/2012,2.50,30.48,86.36
REG,2554,11/20/2012,5.10,30.8,159.13
REG,2554,11/21/2012,2.50,30.48,86.36
REG,2554,11/21/2012,5.10,30.8,159.13
REG,2569,11/19/2012,8.00,30.48,243.84
REG,2569,11/20/2012,8.00,30.48,243.84
REG,2569,11/21/2012,8.00,30.48,243.84
REG,2569,11/22/2012,8.00,30.48,243.84
REG,2569,11/23/2012,8.00,30.48,243.84
REG,2574,11/14/2012,2.41,30.48,81.79
REG,2574,11/14/2012,5.19,30.8,163.75
REG,2574,11/15/2012,2.41,30.48,81.79
REG,2574,11/15/2012,5.19,30.8,163.75
REG,2574,11/16/2012,2.41,30.48,81.79
REG,2574,11/16/2012,5.19,30.8,163.75
REG,2574,11/19/2012,2.41,30.48,81.79
REG,2574,11/19/2012,5.19,30.8,163.75
REG,2574,11/20/2012,2.41,30.48,81.79
REG,2574,11/20/2012,5.19,30.8,163.75
REG,2574,11/21/2012,2.41,30.48,81.79
REG,2574,11/21/2012,5.19,30.8,163.75
REG,2577,11/11/2012,8.00,30.48,243.84
REG,2577,11/12/2012,5.34,30.48,169.67
REG,2577,11/12/2012,2.26,30.8,74.95
REG,2577,11/13/2012,5.34,30.48,169.67
REG,2577,11/13/2012,2.26,30.8,74.95
REG,2577,11/14/2012,5.34,30.48,169.67
REG,2577,11/14/2012,2.26,30.8,74.95
REG,2577,11/15/2012,5.34,30.48,169.67
REG,2577,11/15/2012,2.26,30.8,74.95
REG,2577,11/18/2012,8.00,30.48,243.84
REG,2577,11/19/2012,5.34,30.48,169.67
REG,2577,11/19/2012,2.26,30.8,74.95
REG,2577,11/20/2012,5.34,30.48,169.67
REG,2577,11/20/2012,2.26,30.8,74.95
REG,2577,11/21/2012,8.00,30.48,243.84
REG,2578,11/10/2012,8.00,30.48,243.84
REG,2578,11/12/2012,5.16,30.48,160.53
REG,2578,11/12/2012,2.44,30.8,84.19
REG,2578,11/14/2012,2.39,30.48,80.77
REG,2578,11/14/2012,5.21,30.8,164.78
REG,2578,11/15/2012,2.39,30.48,80.77
REG,2578,11/15/2012,5.21,30.8,164.78
REG,2578,11/16/2012,2.39,30.48,80.77
REG,2578,11/16/2012,5.21,30.8,164.78
REG,2578,11/17/2012,4.19,30.48,131.57
REG,2578,11/17/2012,3.41,30.8,113.45
REG,2578,11/23/2012,8.00,30.48,243.84
REG,2722,11/10/2012,8.00,30.48,243.84
REG,2722,11/11/2012,8.00,30.48,243.84
REG,2722,11/12/2012,8.00,30.48,243.84
REG,2722,11/13/2012,8.00,30.48,243.84
REG,2722,11/14/2012,3.17,30.48,100.08
REG,2722,11/17/2012,6.02,30.48,183.9
REG,2722,11/17/2012,1.58,30.8,60.57
REG,2722,11/18/2012,8.00,30.48,243.84
REG,2722,11/19/2012,8.00,30.48,243.84
REG,2722,11/20/2012,6.01,30.48,183.39
REG,2722,11/20/2012,1.59,30.8,61.09
REG,2722,11/21/2012,4.45,30.48,144.78
REG,2722,11/21/2012,3.15,30.8,100.1
REG,2760,11/12/2012,6.23,30.48,194.56
REG,2760,11/12/2012,1.37,30.8,49.79
REG,2760,11/13/2012,6.05,30.48,185.42
REG,2760,11/13/2012,1.55,30.8,59.03
REG,2760,11/14/2012,6.05,30.48,185.42
REG,2760,11/14/2012,1.55,30.8,59.03
REG,2760,11/16/2012,6.05,30.48,185.42
REG,2760,11/16/2012,1.55,30.8,59.03
REG,2760,11/17/2012,2.44,30.48,83.31
REG,2760,11/17/2012,5.16,30.8,162.21
REG,2760,11/19/2012,6.05,30.48,185.42
REG,2760,11/19/2012,1.55,30.8,59.03
REG,2760,11/20/2012,6.05,30.48,185.42
REG,2760,11/20/2012,1.55,30.8,59.03
REG,2760,11/21/2012,6.05,30.48,185.42
REG,2760,11/21/2012,1.55,30.8,59.03
REG,2777,11/12/2012,4.36,30.48,140.21
REG,2777,11/12/2012,3.24,30.8,104.72
REG,2777,11/13/2012,4.45,30.48,144.78
REG,2777,11/13/2012,3.15,30.8,100.1
REG,2777,11/14/2012,4.45,30.48,144.78
REG,2777,11/14/2012,3.15,30.8,100.1
REG,2777,11/15/2012,4.45,30.48,144.78
REG,2777,11/15/2012,3.15,30.8,100.1
REG,2777,11/16/2012,4.45,30.48,144.78
REG,2777,11/16/2012,3.15,30.8,100.1
REG,2777,11/19/2012,4.45,30.48,144.78
REG,2777,11/19/2012,3.15,30.8,100.1
REG,2777,11/20/2012,4.45,30.48,144.78
REG,2777,11/20/2012,3.15,30.8,100.1
REG,2777,11/21/2012,4.45,30.48,144.78
REG,2777,11/21/2012,3.15,30.8,100.1
REG,2797,11/12/2012,6.18,30.48,192.02
REG,2797,11/12/2012,1.42,30.8,52.36
REG,2797,11/13/2012,1.09,30.48,35.05
REG,2797,11/13/2012,6.51,30.8,210.98
REG,2797,11/14/2012,1.09,30.48,35.05
REG,2797,11/14/2012,6.51,30.8,210.98
REG,2797,11/15/2012,1.09,30.48,35.05
REG,2797,11/15/2012,6.51,30.8,210.98
REG,2797,11/16/2012,1.09,30.48,35.05
REG,2797,11/16/2012,6.51,30.8,210.98
REG,2797,11/19/2012,1.09,30.48,35.05
REG,2797,11/19/2012,6.51,30.8,210.98
