EARN,EMP#,DATE,HRS,RATE,AMOUNT,,,,,,,,,,,,
REG,2574,11/21/2012,2.41,30.48,81.79,,,,,,,,,,,,
REG,2574,11/21/2012,5.19,30.8,163.75,,,,,,,,,,,,
REG,2574,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2577,11/18/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2577,11/19/2012,5.34,30.48,169.67,,,,,,,,,,,,
REG,2577,11/19/2012,2.26,30.8,74.95,,,,,,,,,,,,
REG,2577,11/20/2012,5.34,30.48,169.67,,,,,,,,,,,,
REG,2577,11/20/2012,2.26,30.8,74.95,,,,,,,,,,,,
REG,2577,11/21/2012,5.34,30.48,169.67,,,,,,,,,,,,
REG,2577,11/21/2012,2.26,30.8,74.95,,,,,,,,,,,,
REG,2578,11/17/2012,4.19,30.48,131.57,,,,,,,,,,,,
REG,2578,11/17/2012,3.41,30.8,113.45,,,,,,,,,,,,
REG,2578,11/19/2012,2.39,30.48,80.77,,,,,,,,,,,,
REG,2578,11/19/2012,5.21,30.8,164.78,,,,,,,,,,,,
REG,2578,11/20/2012,2.39,30.48,80.77,,,,,,,,,,,,
REG,2578,11/20/2012,5.21,30.8,164.78,,,,,,,,,,,,
REG,2578,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2722,11/19/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2722,11/20/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2722,11/21/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2722,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2760,11/17/2012,2.44,30.48,83.31,,,,,,,,,,,,
REG,2760,11/17/2012,5.16,30.8,162.21,,,,,,,,,,,,
REG,2760,11/19/2012,6.05,30.48,185.42,,,,,,,,,,,,
REG,2760,11/19/2012,1.55,30.8,59.03,,,,,,,,,,,,
REG,2760,11/20/2012,6.05,30.48,185.42,,,,,,,,,,,,
REG,2760,11/20/2012,1.55,30.8,59.03,,,,,,,,,,,,
REG,2760,11/21/2012,6.05,30.48,185.42,,,,,,,,,,,,
REG,2760,11/21/2012,1.55,30.8,59.03,,,,,,,,,,,,
REG,2777,11/19/2012,4.45,30.48,144.78,,,,,,,,,,,,
REG,2777,11/19/2012,3.15,30.8,100.1,,,,,,,,,,,,
REG,2777,11/20/2012,4.45,30.48,144.78,,,,,,,,,,,,
REG,2777,11/20/2012,3.15,30.8,100.1,,,,,,,,,,,,
REG,2777,11/21/2012,4.45,30.48,144.78,,,,,,,,,,,,
REG,2777,11/21/2012,3.15,30.8,100.1,,,,,,,,,,,,
REG,2777,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2797,11/19/2012,1.09,30.48,35.05,,,,,,,,,,,,
REG,2797,11/19/2012,6.51,30.8,210.98,,,,,,,,,,,,
REG,2797,11/20/2012,1.09,30.48,35.05,,,,,,,,,,,,
REG,2797,11/20/2012,6.51,30.8,210.98,,,,,,,,,,,,
REG,2797,11/21/2012,1.09,30.48,35.05,,,,,,,,,,,,
REG,2797,11/21/2012,6.51,30.8,210.98,,,,,,,,,,,,
REG,2797,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2917,11/17/2012,4.11,30.48,127.51,,,,,,,,,,,,
REG,2917,11/17/2012,3.49,30.8,117.55,,,,,,,,,,,,
REG,2917,11/20/2012,3.11,30.48,97.03,,,,,,,,,,,,
